frame,ms,input,p0,p1,p2,p3,engine_value,engine_gate,lap,speed
5852,97388,0040,05,03,E4,11,0DE4,A7B2,0,4742
5853,97404,0040,05,0E,00,04,0DE4,A7B2,0,4742
5854,97421,0040,05,03,E4,11,0DE4,A7B2,0,4742
5855,97438,0040,05,0E,00,04,0DEC,A7B1,0,4752
5856,97454,0040,05,03,EC,11,0DEC,A7B1,0,4752
5857,97471,0040,05,0E,00,04,0DEC,A7B1,0,4752
5858,97488,0040,05,03,F2,11,0DF2,A7B0,0,4761
5859,97504,0040,05,0E,03,04,0DF2,A7B0,0,4761
5860,97521,0040,05,03,F2,11,0DF2,A7B0,0,4761
5861,97537,0040,05,0E,00,04,0DF8,A7AF,0,4770
5862,97554,0040,05,03,F8,11,0DF8,A7AF,0,4770
5863,97571,0040,05,0E,00,04,0DF8,A7AF,0,4770
5864,97587,0040,05,03,00,12,0E00,A7AE,0,4779
5865,97604,0040,05,0E,00,04,0E00,A7AE,0,4779
5866,97621,0040,05,03,00,12,0E00,A7AE,0,4779
5867,97637,0040,05,03,00,12,0E06,A7AD,0,4788
5868,97654,0040,05,0E,00,04,0E06,A7AD,0,4788
5869,97671,0040,05,03,06,12,0E06,A7AD,0,4788
5870,97687,0040,05,0E,03,04,0E0C,A7AC,0,4796
5871,97704,0040,05,03,0C,12,0E0C,A7AC,0,4796
5872,97720,0040,05,0E,03,04,0E0C,A7AC,0,4796
5873,97737,0040,05,03,12,12,0E12,A7AB,0,4804
5874,97754,0040,05,0E,03,04,0E12,A7AB,0,4804
5875,97770,0040,05,03,12,12,0E12,A7AB,0,4804
5876,97787,0040,05,0E,03,04,0E18,A7AA,0,4812
5877,97804,0040,05,03,18,12,0E18,A7AA,0,4812
5878,97820,0040,05,0E,03,04,0E18,A7AA,0,4812
5879,97837,0040,05,03,1E,12,0E1E,A7A9,0,4820
5880,97854,0040,05,0E,03,04,0E1E,A7A9,0,4820
5881,97870,0040,05,03,1E,12,0E1E,A7A9,0,4820
5882,97887,0040,05,0E,03,04,0E24,A7A8,0,4827
5883,97904,0040,05,03,24,12,0E24,A7A8,0,4827
5884,97920,0040,05,0E,03,04,0E24,A7A8,0,4827
5885,97937,0040,05,03,2A,12,0E2A,A7A7,0,4835
5886,97953,0040,05,0E,00,04,0E2A,A7A7,0,4835
5887,97970,0040,05,03,2A,12,0E2A,A7A7,0,4835
5888,97987,0040,05,0E,03,04,0E30,A7A6,0,4843
5889,98003,0050,05,03,30,12,0E30,A7A6,0,4843
5890,98020,0050,05,03,30,12,0E30,A7A6,0,4843
5891,98037,0050,05,0E,00,04,08A2,A7A5,0,4880
5892,98053,0050,05,03,A2,0C,08A2,A7A5,0,4880
5893,98070,0050,05,0E,00,04,08A2,A7A5,0,4880
5894,98087,0050,05,03,B4,0C,08B4,A7A4,0,4917
5895,98103,0050,05,0E,03,04,08B4,A7A4,0,4917
5896,98120,0050,05,03,B4,0C,08B4,A7A4,0,4917
5897,98136,0050,05,0E,03,04,08C4,A7A3,0,4954
5898,98153,0050,05,03,C4,0C,08C4,A7A3,0,4954
5899,98170,0050,05,0E,03,04,08C4,A7A3,0,4954
5900,98186,0050,05,03,D4,0C,08D4,A7A2,0,4991
5901,98203,0050,05,0E,00,04,08D4,A7A2,0,4991
5902,98220,0050,05,03,D4,0C,08D4,A7A2,0,4991
5903,98236,0050,05,0E,03,04,08E4,A7A1,0,5027
5904,98253,0050,05,03,E4,0C,08E4,A7A1,0,5027
5905,98270,0050,05,0E,03,04,08E4,A7A1,0,5027
5906,98286,0050,05,03,F4,0C,08F4,A7A0,0,5062
5907,98303,0040,05,0E,00,04,08F4,A7A0,0,5062
5908,98320,0040,05,03,F4,0C,08F4,A7A0,0,5062
5909,98336,0040,05,0E,00,04,0904,A79F,0,5097
5910,98353,0040,05,03,04,0D,0904,A79F,0,5097
5911,98369,0040,05,0E,00,04,0904,A79F,0,5097
5912,98386,0040,05,03,14,0D,0914,A79E,0,5131
5913,98403,0040,05,0E,00,04,0914,A79E,0,5131
5914,98419,0040,05,03,14,0D,0914,A79E,0,5131
5915,98436,0040,05,0E,03,04,0924,A79D,0,5165
5916,98453,0040,05,03,24,0D,0924,A79D,0,5165
5917,98469,0040,05,0E,03,04,0924,A79D,0,5165
5918,98486,0040,05,03,32,0D,0932,A79C,0,5199
5919,98503,0040,05,0E,00,04,0932,A79C,0,5199
5920,98519,0040,05,03,32,0D,0932,A79C,0,5199
5921,98536,0040,05,0E,00,04,0942,A79B,0,5233
5922,98552,0040,05,03,42,0D,0942,A79B,0,5233
5923,98569,0040,05,0E,00,04,0942,A79B,0,5233
5924,98586,0040,05,03,52,0D,0952,A79A,0,5266
5925,98602,0040,05,0E,00,04,0952,A79A,0,5266
5926,98619,0040,05,03,52,0D,0952,A79A,0,5266
5927,98636,0040,05,0E,00,04,0960,A799,0,5299
5928,98652,0040,05,03,60,0D,0960,A799,0,5299
5929,98669,0040,05,0E,00,04,0960,A799,0,5299
5930,98686,0040,05,03,6E,0D,096E,A798,0,5331
5931,98702,0040,05,0E,00,04,096E,A798,0,5331
5932,98719,0040,05,03,6E,0D,096E,A798,0,5331
5933,98735,0040,05,0E,03,04,097E,A797,0,5363
5934,98752,0040,05,03,7E,0D,097E,A797,0,5363
5935,98769,0040,05,0E,03,04,097E,A797,0,5363
5936,98785,0040,05,03,8C,0D,098C,A796,0,5394
5937,98802,0040,05,0E,00,04,098C,A796,0,5394
5938,98819,0040,05,03,8C,0D,098C,A796,0,5394
5939,98835,0040,05,0E,00,04,099A,A795,0,5425
5940,98852,0040,05,03,9A,0D,099A,A795,0,5425
5941,98869,0040,05,0E,00,04,099A,A795,0,5425
5942,98885,0040,05,03,A8,0D,09A8,A794,0,5456
5943,98902,0040,05,0E,03,04,09A8,A794,0,5456
5944,98919,0040,05,03,A8,0D,09A8,A794,0,5456
5945,98935,0040,05,0E,00,04,09B6,A793,0,5487
5946,98952,0040,05,03,B6,0D,09B6,A793,0,5487
5947,98968,0040,05,0E,00,04,09B6,A793,0,5487
5948,98985,0040,05,03,C2,0D,09C2,A792,0,5517
5949,99002,0040,05,0E,03,04,09C2,A792,0,5517
5950,99018,0040,05,03,C2,0D,09C2,A792,0,5517
5951,99035,0040,05,0E,03,04,09D0,A791,0,5547
5952,99052,0040,05,03,D0,0D,09D0,A791,0,5547
5953,99068,0040,05,0E,03,04,09D0,A791,0,5547
5954,99085,0040,05,03,DE,0D,09DE,A790,0,5576
5955,99102,0040,05,0E,00,04,09DE,A790,0,5576
5956,99118,0040,05,03,DE,0D,09DE,A790,0,5576
5957,99135,0040,05,0E,03,04,09EA,A78F,0,5605
5958,99151,0040,05,03,EA,0D,09EA,A78F,0,5605
5959,99168,0040,05,0E,03,04,09EA,A78F,0,5605
5960,99185,0040,05,03,F8,0D,09F8,A78E,0,5633
5961,99201,0040,05,0E,03,04,09F8,A78E,0,5633
5962,99218,0040,05,03,F8,0D,09F8,A78E,0,5633
5963,99235,0040,05,0E,00,04,0A04,A78D,0,5661
5964,99251,0040,05,03,04,0E,0A04,A78D,0,5661
5965,99268,0040,05,0E,00,04,0A04,A78D,0,5661
5966,99285,0040,05,03,12,0E,0A12,A78C,0,5690
5967,99301,0040,05,0E,03,04,0A12,A78C,0,5690
5968,99318,0040,05,03,12,0E,0A12,A78C,0,5690
5969,99334,0040,05,0E,00,04,0A1E,A78B,0,5718
5970,99351,0040,05,03,1E,0E,0A1E,A78B,0,5718
5971,99368,0040,05,0E,00,04,0A1E,A78B,0,5718
5972,99384,0040,05,03,2A,0E,0A2A,A78A,0,5746
5973,99401,0040,05,0E,03,04,0A2A,A78A,0,5746
5974,99418,0040,05,03,2A,0E,0A2A,A78A,0,5746
5975,99434,0040,05,0E,00,04,0A36,A789,0,5773
5976,99451,0040,05,03,36,0E,0A36,A789,0,5773
5977,99468,0040,05,0E,00,04,0A36,A789,0,5773
5978,99484,0040,05,03,44,0E,0A44,A788,0,5800
5979,99501,0040,05,0E,03,04,0A44,A788,0,5800
5980,99518,0040,05,03,44,0E,0A44,A788,0,5800
5981,99534,0040,05,0E,00,04,0A4E,A787,0,5826
5982,99551,0040,05,03,4E,0E,0A4E,A787,0,5826
5983,99567,0040,05,0E,00,04,0A4E,A787,0,5826
5984,99584,0040,05,03,5A,0E,0A5A,A786,0,5852
5985,99601,0040,05,0E,00,04,0A5A,A786,0,5852
5986,99617,0040,05,03,5A,0E,0A5A,A786,0,5852
5987,99634,0040,05,0E,03,04,0A66,A785,0,5878
5988,99651,0040,05,0E,03,04,0A66,A785,0,5878
5989,99667,0040,05,03,66,0E,0A66,A785,0,5878
5990,99684,0040,05,0E,00,04,0A72,A784,0,5903
5991,99701,0040,05,03,72,0E,0A72,A784,0,5903
5992,99717,0040,05,0E,00,04,0A72,A784,0,5903
5993,99734,0040,05,03,7E,0E,0A7E,A783,0,5928
5994,99750,0040,05,0E,00,04,0A7E,A783,0,5928
5995,99767,0040,05,03,7E,0E,0A7E,A783,0,5928
5996,99784,0040,05,0E,03,04,0A88,A782,0,5953
5997,99800,0040,05,03,88,0E,0A88,A782,0,5953
5998,99817,0040,05,0E,03,04,0A88,A782,0,5953
5999,99834,0040,05,03,94,0E,0A94,A781,0,5978
6000,99850,0040,05,0E,03,04,0A94,A781,0,5978
6001,99867,0040,05,03,94,0E,0A94,A781,0,5978
6002,99884,0040,05,0E,00,04,0AA0,A780,0,6003
6003,99900,0040,05,03,A0,0E,0AA0,A780,0,6003
6004,99917,0040,05,0E,00,04,0AA0,A780,0,6003
6005,99934,0040,05,03,AA,0E,0AAA,A77F,0,6027
6006,99950,0040,05,0E,00,04,0AAA,A77F,0,6027
6007,99967,0040,05,03,AA,0E,0AAA,A77F,0,6027
6008,99983,0040,05,0E,00,04,0AB4,A77E,0,6051
6009,100000,0040,05,03,B4,0E,0AB4,A77E,0,6051
6010,100017,0040,05,0E,00,04,0AB4,A77E,0,6051
6011,100033,0040,05,0E,00,04,0AC0,A77D,0,6074
6012,100050,0040,05,03,C0,0E,0AC0,A77D,0,6074
6013,100067,0040,05,0E,00,04,0AC0,A77D,0,6074
6014,100083,0040,05,03,CA,0E,0ACA,A77C,0,6097
6015,100100,0040,05,0E,00,04,0ACA,A77C,0,6097
6016,100117,0040,05,03,CA,0E,0ACA,A77C,0,6097
6017,100133,0040,05,0E,00,04,0AD4,A77B,0,6120
6018,100150,0040,05,03,D4,0E,0AD4,A77B,0,6120
6019,100166,0040,05,0E,00,04,0AD4,A77B,0,6120
6020,100183,0040,05,03,DE,0E,0ADE,A77A,0,6142
6021,100200,0040,05,0E,03,04,0ADE,A77A,0,6142
6022,100216,0040,05,03,DE,0E,0ADE,A77A,0,6142
6023,100233,0040,05,0E,00,04,0AE8,A779,0,6164
6024,100250,0040,05,03,E8,0E,0AE8,A779,0,6164
6025,100266,0040,05,0E,00,04,0AE8,A779,0,6164
6026,100283,0040,05,03,F2,0E,0AF2,A778,0,6186
6027,100300,0040,05,0E,00,04,0AF2,A778,0,6186
6028,100316,0040,05,03,F2,0E,0AF2,A778,0,6186
6029,100333,0040,05,0E,00,04,0AFC,A777,0,6207
6030,100349,0040,05,03,FC,0E,0AFC,A777,0,6207
6031,100366,0040,05,0E,00,04,0AFC,A777,0,6207
6032,100383,0040,05,03,06,0F,0B06,A776,0,6228
6033,100399,0040,05,0E,00,04,0B06,A776,0,6228
6034,100416,0040,05,03,06,0F,0B06,A776,0,6228
6035,100433,0040,05,0E,03,04,0B0E,A775,0,6249
6036,100449,0040,05,03,0E,0F,0B0E,A775,0,6249
6037,100466,0040,05,0E,03,04,0B0E,A775,0,6249
6038,100483,0040,05,03,18,0F,0B18,A774,0,6269
6039,100499,0040,05,0E,03,04,0B18,A774,0,6269
6040,100516,0040,05,03,18,0F,0B18,A774,0,6269
6041,100533,0040,05,0E,00,04,0B20,A773,0,6289
6042,100549,0040,05,03,20,0F,0B20,A773,0,6289
6043,100566,0040,05,0E,00,04,0B20,A773,0,6289
6044,100582,0040,05,03,2A,0F,0B2A,A772,0,6309
6045,100599,0040,05,0E,00,04,0B2A,A772,0,6309
6046,100616,0040,05,03,2A,0F,0B2A,A772,0,6309
6047,100632,0040,05,0E,03,04,0B32,A771,0,6328
6048,100649,0040,05,03,32,0F,0B32,A771,0,6328
6049,100666,0040,05,0E,03,04,0B32,A771,0,6328
6050,100682,0040,05,03,3A,0F,0B3A,A770,0,6347
6051,100699,0040,05,0E,03,04,0B3A,A770,0,6347
6052,100716,0040,05,03,3A,0F,0B3A,A770,0,6347
6053,100732,0040,05,0E,00,04,0B44,A76F,0,6366
6054,100749,0040,05,03,44,0F,0B44,A76F,0,6366
6055,100765,0040,05,0E,00,04,0B44,A76F,0,6366
6056,100782,0040,05,03,4C,0F,0B4C,A76E,0,6385
6057,100799,0040,05,0E,03,04,0B4C,A76E,0,6385
6058,100815,0040,05,03,4C,0F,0B4C,A76E,0,6385
6059,100832,0040,05,0E,00,04,0B54,A76D,0,6403
6060,100849,0040,05,03,54,0F,0B54,A76D,0,6403
6061,100865,0040,05,0E,00,04,0B54,A76D,0,6403
6062,100882,0040,05,03,5C,0F,0B5C,A76C,0,6421
6063,100899,0040,05,0E,00,04,0B5C,A76C,0,6421
6064,100915,0040,05,03,5C,0F,0B5C,A76C,0,6421
6065,100932,0040,05,0E,00,04,0B64,A76B,0,6439
6066,100949,0040,05,03,64,0F,0B64,A76B,0,6439
6067,100965,0040,05,0E,00,04,0B64,A76B,0,6439
6068,100982,0040,05,03,6C,0F,0B6C,A76A,0,6457
6069,100998,0040,05,0E,03,04,0B6C,A76A,0,6457
6070,101015,0140,05,03,6C,0F,0B6C,A76A,0,6457
6071,101032,0140,05,0E,00,04,0B74,A769,0,6475
6072,101048,0140,05,03,74,0F,0B74,A769,0,6475
6073,101065,0140,05,0E,00,04,0B74,A769,0,6475
6074,101082,0140,05,03,7E,0F,0B7E,A768,0,6493
6075,101098,0140,05,0E,03,04,0B7E,A768,0,6493
6076,101115,0140,05,03,7E,0F,0B7E,A768,0,6493
6077,101132,0140,05,0E,00,04,0B86,A767,0,6511
6078,101148,0140,05,03,86,0F,0B86,A767,0,6511
6079,101165,0140,05,0E,00,04,0B86,A767,0,6511
6080,101181,0140,05,03,8E,0F,0B8E,A766,0,6528
6081,101198,0140,05,0E,00,04,0B8E,A766,0,6528
6082,101215,0140,05,03,8E,0F,0B8E,A766,0,6528
6083,101231,0140,05,0E,03,04,0B94,A765,0,6545
6084,101248,0140,05,03,94,0F,0B94,A765,0,6545
6085,101265,0140,05,0E,03,04,0B94,A765,0,6545
